,genes,gene_assoc_w_other_rxns?
14GLUCANabcpp,frozenset({<Gene TGME49_216790-t26_1-p1 at 0x2b999f125358>}),no
3HAD100_1,frozenset({<Gene TGME49_321570-t26_1-p1 at 0x2b999f1195c0>}),no
3HAD120_1,frozenset({<Gene TGME49_321570-t26_1-p1 at 0x2b999f1195c0>}),no
3HAD80_1,frozenset({<Gene TGME49_321570-t26_1-p1 at 0x2b999f1195c0>}),no
3OAR100_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR120_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR140_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR160_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR180_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR181_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR40_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR60_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAR80_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x2b999f1197b8>}),no
3OAS100_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x2b999f1198d0>}),no
3OAS120_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x2b999f1198d0>}),no
3OAS140_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x2b999f1198d0>}),no
3OAS160_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x2b999f1198d0>}),no
3OAS60_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x2b999f1198d0>}),no
3OAS80_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x2b999f1198d0>}),no
3PG_pi_thr,frozenset({<Gene TGME49_232690-t26_1-p1 at 0x2b999f158cf8>}),no
A2GALT1,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A2GALT2,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A2GALT3,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A2GALT4,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A2GALT5,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A2GALT6,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A3GALT1,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A3GALT2,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A3GALT3,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A3GALT4,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A3GALT5,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
A4GALT,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x2b999f16b668>}),no
AACP1819ZS,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x2b999f158f98>}),no
AACPS1_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x2b999f158f98>}),no
AACPS3_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x2b999f158f98>}),no
AACPS4_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x2b999f158f98>}),no
AACPS5_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x2b999f158f98>}),no
AACPS6_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x2b999f158f98>}),no
AAMYLpp,frozenset({<Gene TGME49_246690-t26_1-p1 at 0x2b999f1586a0>}),no
AASPh,frozenset({<Gene TGME49_282230-t26_1-p1 at 0x2b999f16b898>}),no
AATC,frozenset({<Gene TGME49_248600-t26_1-p1 at 0x2b999f119c18>}),no
AATG,frozenset({<Gene TGME49_248600-t26_1-p1 at 0x2b999f119c18>}),no
ABFPTh,frozenset({<Gene TGME49_265450-t26_1-p1 at 0x2b999f16b4e0>}),no
ACACT2,"frozenset({<Gene TGME49_301120-t26_1-p1 at 0x2b999f119940>, <Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>})",yes
ACACT3,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>}),no
ACACT4p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>}),no
ACACT5p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>}),no
ACACT6p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>}),no
ACACT7p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>}),no
ACACT8p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>}),no
ACACT9p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x2b999f119748>}),no
ACCOAC_1,frozenset({<Gene TGME49_284190-t26_1-p1 at 0x2b999f158eb8>}),no
