,genes,gene_assoc_w_other_rxns?
3HAD100_1,frozenset({<Gene PfDd2_130028900-t41_1-p1 at 0x7f24e010e978>}),no
3HAD120_1,frozenset({<Gene PfDd2_130028900-t41_1-p1 at 0x7f24e010e978>}),no
3HAD80_1,frozenset({<Gene PfDd2_130028900-t41_1-p1 at 0x7f24e010e978>}),no
3OAS100_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x7f24e010ecc0>}),no
3OAS120_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x7f24e010ecc0>}),no
3OAS140_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x7f24e010ecc0>}),no
3OAS160_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x7f24e010ecc0>}),no
3OAS60_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x7f24e010ecc0>}),no
3OAS80_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x7f24e010ecc0>}),no
AACP1819ZS,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x7f24e0122b70>}),no
AACPS1_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x7f24e0122b70>}),no
AACPS3_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x7f24e0122b70>}),no
AACPS4_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x7f24e0122b70>}),no
AACPS5_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x7f24e0122b70>}),no
AACPS6_1,frozenset({<Gene PfDd2_020017700-t41_1-p1 at 0x7f24e0122b70>}),no
ABFPTh,frozenset({<Gene PfDd2_060028700-t41_1-p1 at 0x7f24e0122cf8>}),no
ACCOAth,frozenset({<Gene PfDd2_100041800-t41_1-p1 at 0x7f24e0122898>}),no
ACCOAtx,frozenset({<Gene PfDd2_100041800-t41_1-p1 at 0x7f24e0122898>}),no
ACOA100OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x7f24e0122ba8>}),no
ACOA120OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x7f24e0122ba8>}),no
ACOA140OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x7f24e0122ba8>}),no
ACOA160OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x7f24e0122ba8>}),no
ACOA40OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x7f24e0122ba8>}),no
ACOA60OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x7f24e0122ba8>}),no
ACOA80OR,frozenset({<Gene PfDd2_140060300-t41_1-p1 at 0x7f24e0122ba8>}),no
ACOATA_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x7f24e010ecc0>}),no
ACOLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x7f24e010ee48>}),no
ACP1619ZD9DS,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x7f24e0122b00>}),no
ACP1819ZD9DS,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x7f24e0122b00>}),no
ACPh,frozenset({<Gene PfDd2_110014600-t41_1-p1 at 0x7f24e0130908>}),no
ACSp,frozenset({<Gene PfDd2_060032500-t41_1-p1 at 0x7f24e010eb00>}),no
ADSSh,frozenset({<Gene PfDd2_130060400-t41_1-p1 at 0x7f24e0130cf8>}),no
AGPAT1601819Zh,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT160h,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT1801819Zh,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT18111Z160h,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT18111Z1819Zh,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT1819Z160h,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT1819Z1619Zh,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT1819Z18111Zh,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AGPAT1819Z1819Zh,frozenset({<Gene PfDd2_140048700-t41_1-p1 at 0x7f24e010eba8>}),no
AHAL,"frozenset({<Gene PfDd2_090030500-t41_1-p1 at 0x7f24e011b9e8>, <Gene PfDd2_140061600-t41_1-p1 at 0x7f24e011b978>})",yes
AM6PTh,frozenset({<Gene PfDd2_060028700-t41_1-p1 at 0x7f24e0122cf8>}),no
AMITKPn,frozenset({<Gene PfDd2_130022000-t41_1-p1 at 0x7f24e0122128>}),no
APNn,"frozenset({<Gene PfDd2_130027500-t41_1-p1 at 0x7f24e0130da0>, <Gene PfDd2_130027400-t41_1-p1 at 0x7f24e0130dd8>})",yes
APhi,frozenset({<Gene PfDd2_110014600-t41_1-p1 at 0x7f24e0130908>}),no
ASO4rt2rpp,frozenset({<Gene PfDd2_130046700-t41_1-p1 at 0x7f24e0130518>}),no
ASPCTn,frozenset({<Gene PfDd2_130013900-t41_1-p1 at 0x7f24e010ed68>}),no
ATAMh,"frozenset({<Gene PfDd2_010014900-t41_1-p1 at 0x7f24e0128208>, <Gene PfDd2_040020800-t41_1-p1 at 0x7f24e010ec50>, <Gene PfDd2_010014400-t41_1-p1 at 0x7f24e01281d0>})",yes
ATDAMh,"frozenset({<Gene PfDd2_010014900-t41_1-p1 at 0x7f24e0128208>, <Gene PfDd2_040020800-t41_1-p1 at 0x7f24e010ec50>, <Gene PfDd2_010014400-t41_1-p1 at 0x7f24e01281d0>})",yes
ATPS10rpp,"frozenset({<Gene PfDd2_130017100-t41_1-p1 at 0x7f24e0114208>, <Gene PfDd2_020019800-t41_1-p1 at 0x7f24e0114198>, <Gene PfDd2_120040500-t41_1-p1 at 0x7f24e01141d0>})",yes
ATPS3g,"frozenset({<Gene PfDd2_130012300-t41_1-p1 at 0x7f24e013e828>, <Gene PfDd2_050024100-t41_1-p1 at 0x7f24e013ea20>, <Gene PfDd2_130047700-t41_1-p1 at 0x7f24e013e860>, <Gene PfDd2_080012000-t41_1-p1 at 0x7f24e013e898>, <Gene PfDd2_140069000-t41_1-p1 at 0x7f24e013e8d0>, <Gene PfDd2_130060300-t41_1-p1 at 0x7f24e013e908>, <Gene PfDd2_110043000-t41_1-p1 at 0x7f24e013e940>, <Gene PfDd2_040011500-t41_1-p1 at 0x7f24e013e9b0>, <Gene PfDd2_130017700-t41_1-p1 at 0x7f24e013e9e8>})",yes
ATPS3v,"frozenset({<Gene PfDd2_130012300-t41_1-p1 at 0x7f24e013e828>, <Gene PfDd2_050024100-t41_1-p1 at 0x7f24e013ea20>, <Gene PfDd2_130047700-t41_1-p1 at 0x7f24e013e860>, <Gene PfDd2_080012000-t41_1-p1 at 0x7f24e013e898>, <Gene PfDd2_140069000-t41_1-p1 at 0x7f24e013e8d0>, <Gene PfDd2_130060300-t41_1-p1 at 0x7f24e013e908>, <Gene PfDd2_110043000-t41_1-p1 at 0x7f24e013e940>, <Gene PfDd2_040011500-t41_1-p1 at 0x7f24e013e9b0>, <Gene PfDd2_130017700-t41_1-p1 at 0x7f24e013e9e8>})",yes
ATPS4rpp,"frozenset({<Gene PfDd2_130017100-t41_1-p1 at 0x7f24e0114208>, <Gene PfDd2_020019800-t41_1-p1 at 0x7f24e0114198>, <Gene PfDd2_120040500-t41_1-p1 at 0x7f24e01141d0>})",yes
ATPS4rpp_1,"frozenset({<Gene PfDd2_130017100-t41_1-p1 at 0x7f24e0114208>, <Gene PfDd2_020019800-t41_1-p1 at 0x7f24e0114198>})",yes
ATPSu,"frozenset({<Gene PfDd2_130017100-t41_1-p1 at 0x7f24e0114208>, <Gene PfDd2_020019800-t41_1-p1 at 0x7f24e0114198>})",yes
BATHORHODOPSINI,frozenset({<Gene PfDd2_130066400-t41_1-p1 at 0x7f24e0128198>}),no
BCAROKT,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x7f24e0122b00>}),no
BTP,frozenset({<Gene PfDd2_080022700-t41_1-p1 at 0x7f24e013ec88>}),no
CA2abcpp,frozenset({<Gene PfDd2_120016700-t41_1-p1 at 0x7f24e0130898>}),no
CA2t3pp,frozenset({<Gene PfDd2_060008200-t41_1-p1 at 0x7f24e010ed30>}),no
CBFC,frozenset({<Gene PfDd2_140043900-t41_1-p1 at 0x7f24e0122630>}),no
CBPSn,frozenset({<Gene PfDd2_130013900-t41_1-p1 at 0x7f24e010ed68>}),no
CDPDAGS18111Z160h,frozenset({<Gene PfDd2_140014500-t41_1-p1 at 0x7f24e010eeb8>}),no
CDPDAGS1819Z160h,frozenset({<Gene PfDd2_140014500-t41_1-p1 at 0x7f24e010eeb8>}),no
CEF,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x7f24e0122b00>}),no
CHITOBpts,frozenset({<Gene PfDd2_140073300-t41_1-p1 at 0x7f24e013e588>}),no
CHLDA1tu,frozenset({<Gene PfDd2_120034100-t41_1-p1 at 0x7f24e01149e8>}),no
CHLDA2tu,frozenset({<Gene PfDd2_120034100-t41_1-p1 at 0x7f24e01149e8>}),no
CHRS,frozenset({<Gene PfDd2_060027700-t41_1-p1 at 0x7f24e0122da0>}),no
CHYA2,frozenset({<Gene PfDd2_140073900-t41_1-p1 at 0x7f24e011be80>}),no
CLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x7f24e010ee48>}),no
CLPNS120pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x7f24e010ee80>}),no
CLPNS140pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x7f24e010ee80>}),no
CLPNS141pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x7f24e010ee80>}),no
CLPNS160pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x7f24e010ee80>}),no
CLPNS161pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x7f24e010ee80>}),no
CLPNS180pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x7f24e010ee80>}),no
CLPNS181pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x7f24e010ee80>}),no
CMK,frozenset({<Gene PfDd2_050008300-t41_1-p1 at 0x7f24e0130a58>}),no
COLIPAPabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x7f24e010ee48>}),no
COLIPAabcpp,"frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x7f24e011b208>, <Gene PfDd2_110048400-t41_1-p1 at 0x7f24e011b198>, <Gene PfDd2_130057900-t41_1-p1 at 0x7f24e011b1d0>, <Gene PfDd2_140052300-t41_1-p1 at 0x7f24e011b160>})",yes
COLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x7f24e010ee48>}),no
CPPPGO_1,frozenset({<Gene PfDd2_110045300-t41_1-p1 at 0x7f24e0130cc0>}),no
CRO4abcpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x7f24e010ee48>}),no
CSp,frozenset({<Gene PfDd2_100027900-t41_1-p1 at 0x7f24e01220f0>}),no
