,genes,gene_assoc_w_other_rxns?
14GLUCANabcpp,frozenset({<Gene TGME49_216790-t26_1-p1 at 0x7fa1e4580710>}),no
3HAD100_1,frozenset({<Gene TGME49_321570-t26_1-p1 at 0x7fa1e457b978>}),no
3HAD120_1,frozenset({<Gene TGME49_321570-t26_1-p1 at 0x7fa1e457b978>}),no
3HAD80_1,frozenset({<Gene TGME49_321570-t26_1-p1 at 0x7fa1e457b978>}),no
3OAR100_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR120_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR140_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR160_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR180_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR181_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR40_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR60_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAR80_1,frozenset({<Gene TGME49_234570-t26_1-p1 at 0x7fa1e457bb38>}),no
3OAS100_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x7fa1e457bc50>}),no
3OAS120_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x7fa1e457bc50>}),no
3OAS140_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x7fa1e457bc50>}),no
3OAS160_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x7fa1e457bc50>}),no
3OAS60_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x7fa1e457bc50>}),no
3OAS80_1,frozenset({<Gene TGME49_231890-t26_1-p1 at 0x7fa1e457bc50>}),no
3PG_pi_thr,frozenset({<Gene TGME49_232690-t26_1-p1 at 0x7fa1e459b0b8>}),no
A2GALT1,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A2GALT2,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A2GALT3,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A2GALT4,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A2GALT5,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A2GALT6,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A3GALT1,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A3GALT2,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A3GALT3,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A3GALT4,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A3GALT5,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
A4GALT,frozenset({<Gene TGME49_283810-t26_1-p1 at 0x7fa1e459ba20>}),no
AACP1819ZS,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x7fa1e459b390>}),no
AACPS1_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x7fa1e459b390>}),no
AACPS3_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x7fa1e459b390>}),no
AACPS4_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x7fa1e459b390>}),no
AACPS5_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x7fa1e459b390>}),no
AACPS6_1,frozenset({<Gene TGME49_310150-t26_1-p1 at 0x7fa1e459b390>}),no
AAMYLpp,frozenset({<Gene TGME49_246690-t26_1-p1 at 0x7fa1e4593a58>}),no
AASPh,frozenset({<Gene TGME49_282230-t26_1-p1 at 0x7fa1e459bc50>}),no
AATC,frozenset({<Gene TGME49_248600-t26_1-p1 at 0x7fa1e457bfd0>}),no
AATG,frozenset({<Gene TGME49_248600-t26_1-p1 at 0x7fa1e457bfd0>}),no
ABFPTh,frozenset({<Gene TGME49_265450-t26_1-p1 at 0x7fa1e459b898>}),no
ACACT2,"frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>, <Gene TGME49_301120-t26_1-p1 at 0x7fa1e457bcf8>})",yes
ACACT3,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>}),no
ACACT4p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>}),no
ACACT5p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>}),no
ACACT6p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>}),no
ACACT7p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>}),no
ACACT8p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>}),no
ACACT9p,frozenset({<Gene TGME49_273740-t26_1-p1 at 0x7fa1e457bb00>}),no
ACCOAC_1,frozenset({<Gene TGME49_284190-t26_1-p1 at 0x7fa1e459b2b0>}),no
ACCOAhi,frozenset({<Gene TGME49_284190-t26_1-p1 at 0x7fa1e459b2b0>}),no
ACCOAth,frozenset({<Gene TGME49_215940-t26_1-p1 at 0x7fa1e4593dd8>}),no
ACCOAtx,frozenset({<Gene TGME49_215940-t26_1-p1 at 0x7fa1e4593dd8>}),no
ACHMSSELCYSLh,frozenset({<Gene TGME49_312930-t26_1-p1 at 0x7fa1e459b198>}),no
ACOA100OR,"frozenset({<Gene TGME49_272180-t26_1-p1 at 0x7fa1e459b588>, <Gene TGME49_231900-t26_1-p1 at 0x7fa1e459b550>, <Gene TGME49_315480-t26_1-p1 at 0x7fa1e459b5f8>, <Gene TGME49_247500-t26_1-p1 at 0x7fa1e458d7f0>})",yes
ACOA120OR,"frozenset({<Gene TGME49_272180-t26_1-p1 at 0x7fa1e459b588>, <Gene TGME49_231900-t26_1-p1 at 0x7fa1e459b550>, <Gene TGME49_315480-t26_1-p1 at 0x7fa1e459b5f8>, <Gene TGME49_247500-t26_1-p1 at 0x7fa1e458d7f0>})",yes
ACOA140OR,"frozenset({<Gene TGME49_272180-t26_1-p1 at 0x7fa1e459b588>, <Gene TGME49_231900-t26_1-p1 at 0x7fa1e459b550>, <Gene TGME49_315480-t26_1-p1 at 0x7fa1e459b5f8>, <Gene TGME49_247500-t26_1-p1 at 0x7fa1e458d7f0>})",yes
ACOA160OR,"frozenset({<Gene TGME49_272180-t26_1-p1 at 0x7fa1e459b588>, <Gene TGME49_231900-t26_1-p1 at 0x7fa1e459b550>, <Gene TGME49_315480-t26_1-p1 at 0x7fa1e459b5f8>, <Gene TGME49_247500-t26_1-p1 at 0x7fa1e458d7f0>})",yes
ACOA40OR,"frozenset({<Gene TGME49_231900-t26_1-p1 at 0x7fa1e459b550>, <Gene TGME49_205430-t26_1-p1 at 0x7fa1e457bd68>, <Gene TGME49_315480-t26_1-p1 at 0x7fa1e459b5f8>, <Gene TGME49_272180-t26_1-p1 at 0x7fa1e459b588>, <Gene TGME49_247500-t26_1-p1 at 0x7fa1e458d7f0>})",yes
ACOA60OR,"frozenset({<Gene TGME49_231900-t26_1-p1 at 0x7fa1e459b550>, <Gene TGME49_205430-t26_1-p1 at 0x7fa1e457bd68>, <Gene TGME49_315480-t26_1-p1 at 0x7fa1e459b5f8>, <Gene TGME49_272180-t26_1-p1 at 0x7fa1e459b588>, <Gene TGME49_247500-t26_1-p1 at 0x7fa1e458d7f0>})",yes
