,genes,gene_assoc_w_other_rxns?
14GLUCANabcpp,frozenset({<Gene TGGT1_216790-t26_1-p1 at 0x7fe8980996d8>}),no
3HAD100_1,frozenset({<Gene TGGT1_321570-t26_1-p1 at 0x7fe898094940>}),no
3HAD120_1,frozenset({<Gene TGGT1_321570-t26_1-p1 at 0x7fe898094940>}),no
3HAD80_1,frozenset({<Gene TGGT1_321570-t26_1-p1 at 0x7fe898094940>}),no
3OAR100_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR120_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR140_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR160_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR180_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR181_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR40_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR60_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAR80_1,frozenset({<Gene TGGT1_234570-t26_1-p1 at 0x7fe898094b38>}),no
3OAS100_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x7fe898094ba8>}),no
3OAS120_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x7fe898094ba8>}),no
3OAS140_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x7fe898094ba8>}),no
3OAS160_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x7fe898094ba8>}),no
3OAS60_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x7fe898094ba8>}),no
3OAS80_1,frozenset({<Gene TGGT1_231890-t26_1-p1 at 0x7fe898094ba8>}),no
