Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Curated GO Functions	Computed GO Functions	Evidence Code	EC numbers	
A0H76_1402	A0H76_1402-t39_1	H. eriocheir strain canceri	LTAI01000299:3,036..3,827(-)	G6PI	N/A	glucose-6-phosphate isomerase activity	IEA	N/A	
A0H76_344	A0H76_344-t39_1	H. eriocheir strain canceri	LTAI01000128:9,933..10,838(-)	TYS1	N/A	thymidylate synthase activity	IEA	N/A	
A0H76_777	A0H76_777-t39_1	H. eriocheir strain canceri	LTAI01001373:88..864(+)	G6PI	N/A	glucose-6-phosphate isomerase activity	IEA	N/A	
A8A55_0402	A8A55_0402-t41_1	A. sp. WSBS2006	MKPU01000010:4,334..6,007(+)	CTP synthase	N/A	CTP synthase activity	IEA	N/A	
A8A55_0453	A8A55_0453-t41_1	A. sp. WSBS2006	MKPU01000011:17,747..18,979(+)	phosphoglycerate kinase	N/A	phosphoglycerate kinase activity	IEA	N/A	
A8A55_0469	A8A55_0469-t41_1	A. sp. WSBS2006	MKPU01000011:36,155..36,772(-)	thymidylate kinase	N/A	ATP binding;thymidylate kinase activity	IEA	N/A	
A8A55_0573	A8A55_0573-t41_1	A. sp. WSBS2006	MKPU01000015:7,277..11,440(-)	adenylate cyclase	N/A	catalytic activity;phosphorus-oxygen lyase activity;protein binding	IEA	N/A	
A8A55_0693	A8A55_0693-t41_1	A. sp. WSBS2006	MKPU01000019:29,945..31,012(+)	fructose-bisphosphate aldolase B	N/A	fructose-bisphosphate aldolase activity	IEA	N/A	
A8A55_0867	A8A55_0867-t41_1	A. sp. WSBS2006	MKPU01000027:15,299..16,249(+)	thymidylate synthase	N/A	thymidylate synthase activity	IEA	N/A	
A8A55_0949	A8A55_0949-t41_1	A. sp. WSBS2006	MKPU01000031:22,401..23,927(-)	pyruvate kinase	N/A	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	IEA	N/A	
A8A55_1084	A8A55_1084-t41_1	A. sp. WSBS2006	MKPU01000038:13,494..14,579(-)	ATP-NAD kinase	N/A	NAD+ kinase activity	IEA	N/A	
A8A55_1085	A8A55_1085-t41_1	A. sp. WSBS2006	MKPU01000038:15,072..16,277(-)	ATP-NAD kinase	N/A	NAD+ kinase activity	IEA	N/A	
A8A55_1112	A8A55_1112-t41_1	A. sp. WSBS2006	MKPU01000040:7,021..8,697(+)	glucose-6-phosphate isomerase	N/A	glucose-6-phosphate isomerase activity	IEA	N/A	
A8A55_1174	A8A55_1174-t41_1	A. sp. WSBS2006	MKPU01000043:9,592..12,111(+)	6-phosphofructokinase	N/A	6-phosphofructokinase activity;ATP binding	IEA	N/A	
A8A55_1458	A8A55_1458-t41_1	A. sp. WSBS2006	MKPU01000061:1..1,560(-)	CTP synthase	N/A	CTP synthase activity	IEA	N/A	
A8A55_2563	A8A55_2563-t41_1	A. sp. WSBS2006	MKPU01000261:2,023..3,345(-)	enolase	N/A	magnesium ion binding;phosphopyruvate hydratase activity	IEA	N/A	
AAJ76_1200023091	AAJ76_1200023091-t41_1	N. ceranae strain PA08_1199	JPQZ01000012:21,568..23,091(-)	glucose-6-phosphate isomerase	N/A	glucose-6-phosphate isomerase activity	IEA	5.3.1.9 (Glucose-6-phosphate isomerase)	
AAJ76_1260007073	AAJ76_1260007073-t41_1	N. ceranae strain PA08_1199	JPQZ01000126:7,073..8,695(+)	ctp synthase	N/A	CTP synthase activity	IEA	6.3.4.2 (CTP synthase (glutamine hydrolyzing))	
AAJ76_1370002521	AAJ76_1370002521-t41_1	N. ceranae strain PA08_1199	JPQZ01000137:2,521..3,660(+)	phosphoglycerate kinase	N/A	phosphoglycerate kinase activity	IEA	2.7.2.3 (Phosphoglycerate kinase)	
AAJ76_400035759	AAJ76_400035759-t41_1	N. ceranae strain PA08_1199	JPQZ01000004:32,967..35,759(-)	6-phosphofructokinase	N/A	6-phosphofructokinase activity	IEA	N/A	
AAJ76_4300015194	AAJ76_4300015194-t41_1	N. ceranae strain PA08_1199	JPQZ01000043:13,953..15,194(-)	enolase	N/A	magnesium ion binding;phosphopyruvate hydratase activity	IEA	N/A	
AAJ76_5000123970	AAJ76_5000123970-t41_1	N. ceranae strain PA08_1199	JPQZ01000005:123,970..124,974(+)	fructose-bisphosphate aldolase b	N/A	fructose-bisphosphate aldolase activity	IEA	N/A	
AAJ76_5600016640	AAJ76_5600016640-t41_1	N. ceranae strain PA08_1199	JPQZ01000056:16,640..17,971(+)	pyruvate kinase	N/A	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	IEA	N/A	
AAJ76_600071182	AAJ76_600071182-t41_1	N. ceranae strain PA08_1199	JPQZ01000006:70,340..71,182(-)	class 3 adenyl cyclase-like protein	N/A	phosphorus-oxygen lyase activity	IEA	N/A	
AAJ76_71000477	AAJ76_71000477-t41_1	N. ceranae strain PA08_1199	JPQZ01000071:477..1,217(+)	inorganic polyphosphate atp-nad kinase	N/A	NAD+ kinase activity	IEA	N/A	
AAJ76_730009229	AAJ76_730009229-t41_1	N. ceranae strain PA08_1199	JPQZ01000073:8,630..9,229(-)	thymidylate kinase	N/A	ATP binding;thymidylate kinase activity	IEA	N/A	
ACA1_025410	ACA1_025410-t26_1	A. castellanii str. Neff	KB007841:12,506..16,263(+)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_036240	ACA1_036240-t26_1	A. castellanii str. Neff	KB007868:45,576..52,021(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_036250	ACA1_036250-t26_1	A. castellanii str. Neff	KB007868:53,753..60,260(-)	unspecified product	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_036390	ACA1_036390-t26_1	A. castellanii str. Neff	KB007868:93,604..95,238(-)	unspecified product	N/A	phosphorus-oxygen lyase activity	IEA	N/A	
ACA1_036510	ACA1_036510-t26_1	A. castellanii str. Neff	KB007868:119,332..125,780(-)	phosphate ABC transporter, putative	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_036610	ACA1_036610-t26_1	A. castellanii str. Neff	KB007868:146,437..151,852(+)	protein kinase domain containing protein	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_037850	ACA1_037850-t26_1	A. castellanii str. Neff	KB008087:35,141..41,954(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_045260	ACA1_045260-t26_1	A. castellanii str. Neff	KB007952:94,477..101,717(-)	Serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_046470	ACA1_046470-t26_1	A. castellanii str. Neff	KB007894:115,070..117,473(+)	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP	N/A	IMP cyclohydrolase activity;catalytic activity;phosphoribosylaminoimidazolecarboxamide formyltransferase activity	IEA	N/A	
ACA1_053240	ACA1_053240-t26_1	A. castellanii str. Neff	KB007909:229,312..230,931(+)	phosphoglycerate kinase	N/A	phosphoglycerate kinase activity	IEA	2.7.2.3 (Phosphoglycerate kinase)	
ACA1_053310	ACA1_053310-t26_1	A. castellanii str. Neff	KB007909:254,781..261,613(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_055950	ACA1_055950-t26_1	A. castellanii str. Neff	KB007909:785,308..791,689(+)	serine/threonine protein kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_058740	ACA1_058740-t26_1	A. castellanii str. Neff	KB007974:366,518..371,499(+)	ATPcitrate synthase	N/A	ATP citrate synthase activity;catalytic activity;cofactor binding;transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	IEA	2.3.3.8 (ATP citrate synthase)	
ACA1_061880	ACA1_061880-t26_1	A. castellanii str. Neff	KB007974:1,069,710..1,070,376(-)	cytidylate kinase	N/A	cytidylate kinase activity;uridylate kinase activity	IEA	2.7.4.14 (UMP/CMP kinase)	
ACA1_064800	ACA1_064800-t26_1	A. castellanii str. Neff	KB007974:1,695,678..1,702,674(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_065800	ACA1_065800-t26_1	A. castellanii str. Neff	KB007974:1,905,143..1,911,452(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_066870	ACA1_066870-t26_1	A. castellanii str. Neff	KB008048:65,732..68,499(-)	glucose6-phosphate isomerase	N/A	glucose-6-phosphate isomerase activity	IEA	5.3.1.9 (Glucose-6-phosphate isomerase)	
ACA1_069310	ACA1_069310-t26_1	A. castellanii str. Neff	KB007857:405,412..407,947(-)	CTP synthase	N/A	CTP synthase activity	IEA	6.3.4.2 (CTP synthase (glutamine hydrolyzing))	
ACA1_069630	ACA1_069630-t26_1	A. castellanii str. Neff	KB007857:495,427..497,207(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_069710	ACA1_069710-t26_1	A. castellanii str. Neff	KB007857:528,390..534,952(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_069990	ACA1_069990-t26_1	A. castellanii str. Neff	KB007857:615,389..616,873(+)	unspecified product	N/A	fructose-bisphosphate aldolase activity	IEA	N/A	
ACA1_072840	ACA1_072840-t26_1	A. castellanii str. Neff	KB007857:1,306,369..1,308,386(+)	kynureninase	N/A	kynureninase activity;pyridoxal phosphate binding	IEA	3.7.1.3 (Kynureninase)	
ACA1_076820	ACA1_076820-t26_1	A. castellanii str. Neff	KB008074:155,382..163,776(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_077080	ACA1_077080-t26_1	A. castellanii str. Neff	KB008074:227,049..231,830(-)	guanylyl cyclase	N/A	guanylate cyclase activity;heme binding	IEA	N/A	
ACA1_077300	ACA1_077300-t26_1	A. castellanii str. Neff	KB008074:285,483..292,460(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_086070	ACA1_086070-t26_1	A. castellanii str. Neff	KB007826:21,314..28,196(-)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_088990	ACA1_088990-t26_1	A. castellanii str. Neff	KB007985:279,613..285,480(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_089050	ACA1_089050-t26_1	A. castellanii str. Neff	KB007985:305,497..311,859(+)	serine/threonine kinase	N/A	ATP binding;phosphorus-oxygen lyase activity;protein kinase activity	IEA	N/A	
ACA1_091330	ACA1_091330-t26_1	A. castellanii str. Neff	KB008103:88,809..91,124(-)	pyruvate kinase, barrel domain containing protein	N/A	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	IEA	2.7.1.40 (Pyruvate kinase)	
