Reference,Annotation,Novelty,OrthoMCL Conservation,Pb Essentiality,Pf Essentiality
PF3D7_0103600.1,"ATP-dependent RNA helicase, putative",Known Pathway,Plasmodium and Other Apicomplexa,ND,Mutable in CDS
PF3D7_0208500.1,acyl carrier protein,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0208600.1,ribosome-recycling factor,Known Pathway,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0311200.1,"valine--tRNA ligase, putative",Known Pathway,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0313700.1,"conserved Plasmodium protein, unknown function, unspecified product",Unknown Function,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0319200.1,"endonuclease/exonuclease/phosphatase family protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Dispensable,Mutable in CDS
PF3D7_0408900.1,tRNA N6-adenosine threonylcarbamoyltransferase,Known Pathway,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0410700.1,"ribosome biogenesis GTPase A, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0411200.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0414100.1,"conserved Plasmodium membrane protein, unknown function",Unknown Function,Plasmodium Only,Slow,Mutable in CDS
PF3D7_0414700.1,"GTP-binding protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Slow,Mutable in CDS
PF3D7_0416100.1,glutamyl-tRNA(Gln) amidotransferase subunit A,Known Pathway,Conserved Outside of Apicomplexa,Slow,Non - Mutable in CDS
PF3D7_0503100.1,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0505400.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0509600.1,asparagine--tRNA ligase,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0514300.1,"aspartate--tRNA ligase, putative",Known Pathway,Plasmodium Only,ND,Non - Mutable in CDS
PF3D7_0602400.1,elongation factor G,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0608100.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium Only,Essential,Non - Mutable in CDS
PF3D7_0628800.1,glutamyl-tRNA(Gln) amidotransferase subunit B,Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0706100.1,"conserved Plasmodium protein, unknown function",Unknown Function,Conserved Outside of Apicomplexa,Essential,Mutable in CDS
PF3D7_0707800.1,"RAP protein, putative","Annotated Gene Product, Unknown Function",Plasmodium and Other Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0727100.1,"conserved Plasmodium protein, unknown function",Unknown Function,Plasmodium and Other Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0727500.1,"mTERF domain-containing protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0813700.1,"ABC transporter F family member 1, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0827500.1,"apicoplast ribosomal protein L21 precursor, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0828200.1,"leucine--tRNA ligase, putative",Known Pathway,Conserved Outside of Apicomplexa,Essential,Non - Mutable in CDS
PF3D7_0911700.1,"GTP-binding protein, putative","Annotated Gene Product, Unknown Function",Conserved Outside of Apicomplexa,Slow,Mutable in CDS
