Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Computed GO Component IDs	Computed GO Components	Computed GO Function IDs	Computed GO Functions	Computed GO Process IDs	Computed GO Processes	Curated GO Component IDs	Curated GO Components	Curated GO Function IDs	Curated GO Functions	Curated GO Process IDs	Curated GO Processes	EC numbers	EC numbers from OrthoMCL	
ACA1_066870	ACA1_066870-t26_1	Acanthamoeba castellanii str. Neff	KB008048:65,732..68,499(-)	glucose6-phosphate isomerase	N/A	N/A	GO:0004347	glucose-6-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.9 (Glucose-6-phosphate isomerase)	5.3.1.9 (Glucose-6-phosphate isomerase)	
AK88_02599	AK88_02599-t30_1	Plasmodium fragile strain nilgiri	KQ001670:73,597..74,454(+)	triosephosphate isomerase	N/A	N/A	GO:0003824;GO:0004807	catalytic activity;triose-phosphate isomerase activity	GO:0006094;GO:0006096	gluconeogenesis;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.3.1.1 (Triose-phosphate isomerase)	5.3.1.1 (Triose-phosphate isomerase)	
BBBOND_0306780	BBBOND_0306780-t26_1	Babesia bigemina strain BOND	LK391709:1,666,053..1,667,269(-)	phosphoglycerate mutase 1 family protein, putative	N/A	N/A	GO:0016868;GO:0004619	intramolecular transferase activity, phosphotransferases;phosphoglycerate mutase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	5.4.2.11 (Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent))	
BESB_080010	mrna.BESB_080010	Besnoitia besnoiti strain Bb-Ger1	CM008352.1:2,782,873..2,786,466(-)	unspecified product	N/A	N/A	GO:0004618	phosphoglycerate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.2.3 (Phosphoglycerate kinase)	2.7.2.3 (Phosphoglycerate kinase)	
C3747_57g67	C3747_57g67-t42_1	Trypanosoma cruzi TCC	PRFC01000057:191,465..192,595(+)	glucokinase	N/A	N/A	GO:0005524;GO:0004340;GO:0005536	ATP binding;glucokinase activity;glucose binding	GO:0051156;GO:0006096	glucose 6-phosphate metabolic process;glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.2 (Glucokinase)	
CPATCC_0032360	CPATCC_0032360-RA	Cryptosporidium parvum IOWA-ATCC	CpIOWA-ATCC_Chr3:400,738..404,721(+)	Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	N/A	N/A	GO:0003872;GO:0005524;GO:0047334	6-phosphofructokinase activity;ATP binding;diphosphate-fructose-6-phosphate 1-phosphotransferase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.90 (Diphosphate--fructose-6-phosphate 1-phosphotransferase)	
ChTU502y2012_305g0160	ChTU502y2012_305g0160-t32_1	Cryptosporidium hominis isolate TU502_2012	JIBM01000009:60,941..62,521(+)	Pyruvate kinase alpha/beta domain	N/A	N/A	GO:0005524;GO:0003824;GO:0000287;GO:0030955;GO:0004743	ATP binding;catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
CmeUKMEL1_08880	CmeUKMEL1_08880-t37_1	Cryptosporidium meleagridis strain UKMEL1	JIBK01000020:30,243..31,262(-)	glyceraldehyde-3-phosphate dehydrogenase type I	N/A	N/A	GO:0051287;GO:0050661;GO:0016620	NAD binding;NADP binding;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor	GO:0006006;GO:0055114	glucose metabolic process;oxidation-reduction process	N/A	N/A	GO:0008943	obsolete glyceraldehyde-3-phosphate dehydrogenase activity	GO:0006094;GO:0019682;GO:0006096	gluconeogenesis;glyceraldehyde-3-phosphate metabolic process;glycolytic process	1.2.1.- (With NAD(+) or NADP(+) as acceptor.)	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	
Cvel_2121	Cvel_2121.t1	Chromera velia CCMP2878	Cvel_scaffold82:25,698..30,468(-)	Pyruvate kinase, putative	N/A	N/A	GO:0003824;GO:0000287;GO:0030955;GO:0004743	catalytic activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	
EBH_0005480	EBH_0005480-t26_1	Eimeria brunetti Houghton	HG713223:39,386..41,319(+)	pyruvate kinase, putative	N/A	N/A	GO:0003824;GO:0016301;GO:0000287;GO:0030955;GO:0004743	catalytic activity;kinase activity;magnesium ion binding;potassium ion binding;pyruvate kinase activity	GO:0006096	glycolytic process	N/A	N/A	N/A	N/A	N/A	N/A	2.7.1.40 (Pyruvate kinase)	2.7.1.40 (Pyruvate kinase)	
