Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Curated GO Functions	Computed GO Functions	Evidence Code	EC numbers	
A0H76_1107	A0H76_1107-t39_1	H. eriocheir strain canceri	LTAI01001618:265..648(-)	SYIC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1593	A0H76_1593-t39_1	H. eriocheir strain canceri	LTAI01001995:84..425(+)	SYMC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1607	A0H76_1607-t39_1	H. eriocheir strain canceri	LTAI01000351:166..2,271(+)	SYVC	N/A	ATP binding;aminoacyl-tRNA editing activity;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1625	A0H76_1625-t39_1	H. eriocheir strain canceri	LTAI01000356:171..1,913(-)	SYMC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1686	A0H76_1686-t39_1	H. eriocheir strain canceri	LTAI01000376:71..412(+)	SYMC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1812	A0H76_1812-t39_1	H. eriocheir strain canceri	LTAI01000408:3,276..5,064(-)	unspecified product	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1882	A0H76_1882-t39_1	H. eriocheir strain canceri	LTAI01000046:7,741..9,207(+)	SYC	N/A	ATP binding;aminoacyl-tRNA ligase activity;cysteine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1930	A0H76_1930-t39_1	H. eriocheir strain canceri	LTAI01000447:471..2,441(+)	SYTC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;threonine-tRNA ligase activity	IEA	N/A	
A0H76_1937	A0H76_1937-t39_1	H. eriocheir strain canceri	LTAI01000450:21..719(+)	SYNC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_1961	A0H76_1961-t39_1	H. eriocheir strain canceri	LTAI01000461:879..2,378(+)	SYFA	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;phenylalanine-tRNA ligase activity;tRNA binding	IEA	N/A	
A0H76_2016	A0H76_2016-t39_1	H. eriocheir strain canceri	LTAI01000052:8,782..9,576(-)	SYP	N/A	ATP binding;nucleotide binding;proline-tRNA ligase activity	IEA	N/A	
A0H76_2076	A0H76_2076-t39_1	H. eriocheir strain canceri	LTAI01000509:1,327..1,542(-)	hypothetical protein	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_208	A0H76_208-t39_1	H. eriocheir strain canceri	LTAI01000970:85..774(+)	SYQ	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_2209	A0H76_2209-t39_1	H. eriocheir strain canceri	LTAI01000061:338..1,933(-)	SYKC	N/A	ATP binding;aminoacyl-tRNA ligase activity;lysine-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
A0H76_2250	A0H76_2250-t39_1	H. eriocheir strain canceri	LTAI01000578:364..837(-)	SYMC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_231	A0H76_231-t39_1	H. eriocheir strain canceri	LTAI01000119:2,233..3,897(+)	SYR	N/A	ATP binding;aminoacyl-tRNA ligase activity;arginine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_2604	A0H76_2604-t39_1	H. eriocheir strain canceri	LTAI01000739:402..1,286(+)	SYW	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_2611	A0H76_2611-t39_1	H. eriocheir strain canceri	LTAI01000744:989..1,183(-)	SYI	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_2612	A0H76_2612-t39_1	H. eriocheir strain canceri	LTAI01000744:1,268..1,570(-)	SYIC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_2819	A0H76_2819-t39_1	H. eriocheir strain canceri	LTAI01000099:3,310..4,980(+)	SYG	N/A	ATP binding;glycine-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_292	A0H76_292-t39_1	H. eriocheir strain canceri	LTAI01000123:1,148..3,904(-)	SYLC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_308	A0H76_308-t39_1	H. eriocheir strain canceri	LTAI01000125:358..1,731(-)	SYDC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_446	A0H76_446-t39_1	H. eriocheir strain canceri	LTAI01000138:913..3,510(-)	SYA	N/A	ATP binding;alanine-tRNA ligase activity;aminoacyl-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
A0H76_581	A0H76_581-t39_1	H. eriocheir strain canceri	LTAI01000156:2,132..3,985(+)	SYEC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_645	A0H76_645-t39_1	H. eriocheir strain canceri	LTAI01001282:63..827(+)	SYMC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A0H76_90	A0H76_90-t39_1	H. eriocheir strain canceri	LTAI01000105:4,887..5,948(+)	SYYC	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tyrosine-tRNA ligase activity	IEA	N/A	
A0H76_955	A0H76_955-t39_1	H. eriocheir strain canceri	LTAI01001495:175..615(+)	SYQ	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_0120	A8A55_0120-t41_1	A. sp. WSBS2006	MKPU01000003:7,107..8,519(+)	aspartyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;aspartate-tRNA ligase activity;nucleotide binding	IEA	N/A	
A8A55_0300	A8A55_0300-t41_1	A. sp. WSBS2006	MKPU01000007:18,039..19,649(-)	asparaginyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;asparagine-tRNA ligase activity;nucleic acid binding;nucleotide binding	IEA	N/A	
A8A55_0350	A8A55_0350-t41_1	A. sp. WSBS2006	MKPU01000008:32,710..33,897(-)	tryptophanyl-tRNA synthetase	N/A	ATP binding;aminoacyl-tRNA ligase activity;nucleotide binding;tryptophan-tRNA ligase activity	IEA	N/A	
